longitude,latitude
-86.627775,33.674697
-85.25664,31.88235
-86.0979,32.3754
-86.0979,32.3754
-86.08119,32.36892
-86.71058,33.58224
-86.2076,34.25999
-86.20599,34.26325
-86.21997,34.27285
-86.21859,34.25753
-86.19249,34.29022
-86.25258,34.53452
-86.14224,34.36277
-86.27082,34.40741
-86.32105,34.17594
-86.3203,34.17686
-86.44163,34.34452
-86.25258,34.53452
-86.44616,34.40031
-86.28796,34.30515
-86.28796,34.30515
-86.32324,34.17667
-86.4231,34.3746
-86.42324,34.37655
-86.25258,34.53452
-86.3203,34.17686
-86.84316,33.34682
-86.65997,33.41436
-86.84308,33.34718
-86.7296,33.3919
-86.87653,33.33772
-86.88867,33.34523
-86.72815,33.38629
-86.87063,33.35534
-86.85481,33.41002
-86.80742,33.39706
-86.82954,33.38742
-86.82888,33.3876
-86.76528,33.4101
-86.82429,33.42807
,
-86.80962,33.35698
-86.71385,34.70723
-86.74104,34.73965
-86.74165,34.71945
-86.75055,34.69696
-86.75039,34.72185
-86.78626,34.72177
-86.73163,34.75594
-86.78182,34.73188
-86.76758,34.73351
-86.0984,33.43328
-86.09045,33.43467
-86.09012,33.46153
-86.11607,33.42543
-88.06415,30.6875
-86.53703,33.55181
-86.55626,33.55693
-86.53739,33.54929
-86.16033,34.21346
-86.16501,34.2106
-86.17603,34.2063
-86.16033,34.21328
-86.17921,34.20608
-86.60537,33.62763
-86.56524,33.64991
-86.56855,33.64756
-86.59523,33.65652
-86.6483,33.5841
-87.0783,32.1124
-87.5374,33.2082
-88.0325,31.0855
-86.81322,33.5201
-86.8075,33.5286
-87.1261,33.2174
-87.5455,33.2177
-87.3049,34.6576
-86.7782,34.7223
-86.4404,34.5801
-86.253,34.7433
-85.6591,32.3755
-85.9352,34.0747
-87.1263,33.225
-86.7208,34.8012
-85.95096,32.94493
-85.95218,32.93819
-85.9306,32.93543
-85.94917,32.95523
-85.97023,32.93143
-85.2259,31.599
-86.7835,33.3098
-86.6647,33.4812
-86.7305,33.5491
-88.2267,30.7937
-85.7263,33.921
-85.2237,32.3877
-88.3397,30.6217
-85.8664,31.4121
-86.0476,33.3846
-86.3088,32.3598
-86.8135,33.2282
-85.384,31.2046
-86.0205,34.0694
-86.758,33.5467
-86.4708,31.31374
-86.4834,31.3281
-86.51723,31.312
-85.81976,33.66237
-85.83345,33.63273
-85.77492,33.63139
-85.85879,33.66586
-85.81044,33.65719
-85.82106,33.70851
-85.81976,33.66237
-85.82108,33.70846
-85.84063,33.66144
-86.49361,34.32867
-86.4965,34.33298
-86.51134,34.31285
-86.48819,34.32866
-86.99556,34.79081
-86.97318,34.80819
-86.95091,34.80419
-86.96914,34.79713
-86.99387,34.80533
-86.96295,34.79703
-86.96417,34.7843
-86.12543,33.99848
