longitude,latitude
-78.6723302,43.1655945
-105.1009281,40.5843926
-86.860557,33.473593
-86.861476,33.476768
-86.911225,33.46875
-76.4169084,41.0780734
-70.1047479,41.285492
-76.3347771,41.0277534
-84.2507443,33.7045401
-94.7679897,29.3060929
-120.3410298,36.7327048
-77.5700569,40.3562308
-79.354544,43.6961347
-79.3954601,43.786175
-122.8780054,38.144256
-105.363983,39.6282838
-85.5099303,38.782094
-80.5686366,38.7897956
-82.5411709,35.5207106
-80.7481636,32.2071497
-80.4057007,36.7504759
-82.539475,35.5370766
-75.5663137,39.5895569
-74.8516066,40.2005072
-87.4981447,41.5328642
-78.5537977,42.7434857
-86.6374932,35.3198101
-77.2565458,42.8341507
-78.5202469,38.8725637
-76.701218,37.3174
-88.0709041,43.0585786
-89.0274418,42.2577147
-71.9506064,43.558912
-87.7254109,41.5554039
-89.560575,44.4510321
-71.1475263,46.8905531
-79.9438926,43.5101926
-122.0688207,37.2494525
-80.2029492,44.5039619
-74.1498145,40.3336911
-79.3596537,43.7180429
-79.3692861,43.7421281
-79.3715346,43.7422502
-73.6078001,45.4748735
-71.2971991,46.8395484
-71.321972,46.823929
-86.8643097,36.1605302
-71.3121909,46.835684
-111.9884752,41.2236401
-84.646629,33.7667909
-79.3172246,43.7335675
-92.6764292,45.1261533
-92.5244556,45.0985452
-91.5101559,44.4619102
-88.0009279,43.8205494
-89.4048407,45.1469105
-88.0186156,44.4817831
-91.4248808,44.8099603
-87.7923101,43.5580538
-88.3009642,45.895788
-91.2879295,45.029129
-91.6526671,45.4544035
-91.6171107,45.2994053
-92.4663086,45.3621832
-91.5957294,45.9335613
-90.0245706,43.6774765
-88.0875152,44.518553
-91.8504521,45.7855041
-91.8654517,45.6480074
-92.5624236,45.3302405
-91.454608,45.7641223
-91.3679409,45.769957
-91.9824013,45.1146846
-90.1023538,44.8391322
-90.9263598,46.7099795
-90.6551377,44.3585728
-92.4037341,45.2640379
-89.0484439,42.5580691
-90.0771063,46.0543929
-92.1282394,45.1416296
-89.0977698,44.365224
-89.5287319,43.4158187
-91.9112727,44.3238543
-88.7578781,44.6110904
-91.7643543,46.2249415
-89.5876879,44.4922101
-92.1457361,44.7752428
-89.7917983,45.2899669
-91.2546169,46.0046786
-91.5228406,44.8074823
-90.0529475,46.1751118
-88.4537132,44.7441566
-87.9414925,44.7605482
-89.3648399,43.1655492
-90.2226348,44.9046882
-87.6964873,44.7466613
-87.9578725,44.1049928
-91.3829357,44.5571857
-92.6149228,45.8491176
-92.2832447,45.2719067
-91.0107067,44.6949605
-88.8820553,44.3019249
-89.3378937,45.0055244
-89.0364996,45.1146904
-89.9179033,43.6135901
-91.4348828,45.4980178
-89.7495719,45.1860783
-87.9718424,44.5088141
-89.1048338,45.0530244
-91.2007035,45.0255189
-88.0907217,44.6609779
-90.674306,44.4213508
-87.7451855,43.7788039
-91.4818453,46.0521725
-90.2473555,44.6227412
-92.0382324,44.7532973
-91.6232216,44.9057941
-91.6523888,44.853572
-91.2926638,45.8030135
-87.8261869,42.6902975
-91.8679486,44.7194073
-91.6870823,44.8789505
-88.0117597,43.5566642
-91.6584999,44.8282942
-87.9714708,42.7344631
-91.5368406,45.9521732
-91.8651738,45.4955119
-89.4584518,44.2991392
-88.2370345,42.6811283
-88.3376148,45.5202399
-86.8393066,45.3541487
-87.9767709,44.7288815
-91.7223766,44.2866309
-88.2312109,45.0230438
-88.6534363,42.6330702
-87.8867698,44.8883234
-90.9923705,44.3946835
-91.2343175,44.1074602
-92.2357401,44.840521
-89.4975459,44.1283483
-89.2717858,43.9041453
-89.8184579,44.6874656
-91.5140504,44.8324602
-91.5143281,44.8132935
-91.3901724,45.9613428
-89.4920659,44.1024737
-90.605974,44.781352
-86.9948354,45.2086012
-91.4251568,44.3621851
-87.9764802,43.4527779
-91.0920954,44.7852387
-91.7346154,45.1494055
-89.9979037,43.5738687
-90.1415158,43.5919219
-88.8442922,44.7456787
-87.4584325,44.8766616
-89.0545547,42.5116813
-91.4623912,45.8724537
-90.1585009,46.1499485
-91.1104299,44.7588493
-87.8135262,42.58485
-87.8601084,45.2624756
-87.8166827,42.6000033
-91.2790494,44.2755142
-88.918441,43.0791666
-91.6943354,45.3699595
-88.6348252,43.4777719
-87.6809189,44.2647173
-87.9742602,43.7463833
-88.0403747,44.0433256
-91.5407333,46.0266163
-87.7106412,43.7369397
-87.6242551,44.4813859
-87.9667546,44.5163142
-90.1720737,43.9121903
-87.5606417,44.4694424
-90.0326302,44.5410715
-87.5700813,44.1427734
-88.572613,44.0349837
-87.8532437,42.7708741
-91.4565447,44.2985736
-88.0502854,44.446704
-89.0859462,42.8416721
-89.5906793,43.8946972
-87.6137177,45.0947076
-89.5431761,43.2919341
-91.2559773,43.9955177
-89.0050492,42.5133208
-87.9834369,44.5986038
-92.5232572,45.4544035
-88.1652281,43.6632119
-89.0065517,42.6700896
-92.1390734,45.4760672
-91.2693989,43.8946818
-92.6003502,45.3405022
-87.6295337,44.5105525
-87.6228661,44.4794414
-89.7334488,43.2550008
-91.488598,44.8236659
-88.1781521,43.6005513
-89.4684671,43.1099376
-92.0518475,45.4191241
-90.3712441,44.3160736
-90.2048547,44.7291308
-90.2251312,44.0582981
-91.1581686,43.7646106
-87.8934548,45.6716281
-89.918183,44.1524665
-87.7298082,43.741384
-91.7027731,45.1930044
-88.3881513,42.8627909
-91.7523928,44.8819058
-89.4306746,43.384709
-89.3952324,43.6898825
-87.8431459,44.0913824
-90.1095711,43.601922
-92.5007446,44.5769121
-89.9829066,44.1566322
-89.2692808,44.6749735
-87.8134342,44.4010728
-87.5542474,44.1524958
-88.0303723,43.6844396
-91.5757204,45.2421837
-89.9412484,45.3046882
-87.6962512,43.763616
-90.7562539,44.7949625
-87.7809369,44.963322
-87.9892607,43.7497165
-90.1390207,44.5152391
-87.5156348,44.2383295
-92.2604675,45.4766231
-88.9959434,45.1441347
-92.0565792,46.7057733
-91.4884938,44.7946823
-89.7442889,44.4221885
-87.7445416,44.6677719
-91.9321669,44.3545034
-88.7864937,44.8544216
-91.496272,44.8441269
-87.6942706,44.9844333
-89.9576282,44.1202441
-90.8381891,45.2344168
-88.2028822,44.2347109
-87.9131587,44.8105472
-90.8587529,44.2666277
-92.408527,45.2574635
-89.718677,45.1831572
-88.7576004,44.619146
-89.5434622,45.4377386
-90.1407264,46.2705041
-91.0779407,45.8077387
-90.0726308,44.5299607
-91.4001577,45.3366295
-87.7189747,43.7269398
-88.0173375,44.5036034
-88.1992666,43.8299924
-87.8253811,44.9455446
-90.7237521,44.4263509
-88.488714,44.8224885
-88.0164932,44.6394369
-91.5993321,45.5066261
-90.1601725,46.3235593
