latitude,longitude
33.674697,-86.627775
31.88235,-85.25664
32.3754,-86.0979
32.3754,-86.0979
32.36892,-86.08119
33.58224,-86.71058
34.25999,-86.2076
34.26325,-86.20599
34.27285,-86.21997
34.25753,-86.21859
34.29022,-86.19249
34.53452,-86.25258
34.36277,-86.14224
34.40741,-86.27082
34.17594,-86.32105
34.17686,-86.3203
34.34452,-86.44163
34.53452,-86.25258
34.40031,-86.44616
34.30515,-86.28796
34.30515,-86.28796
34.17667,-86.32324
34.3746,-86.4231
34.37655,-86.42324
34.53452,-86.25258
34.17686,-86.3203
33.34682,-86.84316
33.41436,-86.65997
33.34718,-86.84308
33.3919,-86.7296
33.33772,-86.87653
33.34523,-86.88867
33.38629,-86.72815
33.35534,-86.87063
33.41002,-86.85481
33.39706,-86.80742
33.38742,-86.82954
33.3876,-86.82888
33.4101,-86.76528
33.42807,-86.82429
33.35698,-86.80962
34.70723,-86.71385
34.73965,-86.74104
34.71945,-86.74165
34.69696,-86.75055
34.72185,-86.75039
34.72177,-86.78626
34.75594,-86.73163
34.73188,-86.78182
34.73351,-86.76758
33.43328,-86.0984
33.43467,-86.09045
33.46153,-86.09012
33.42543,-86.11607
30.6875,-88.06415
33.55181,-86.53703
33.55693,-86.55626
33.54929,-86.53739
34.21346,-86.16033
34.2106,-86.16501
34.2063,-86.17603
34.21328,-86.16033
34.20608,-86.17921
33.62763,-86.60537
33.64991,-86.56524
33.64756,-86.56855
33.65652,-86.59523
33.5841,-86.6483
32.1124,-87.0783
33.2082,-87.5374
31.0855,-88.0325
33.5201,-86.81322
33.5286,-86.8075
33.2174,-87.1261
33.2177,-87.5455
34.6576,-87.3049
34.7223,-86.7782
34.5801,-86.4404
34.7433,-86.253
32.3755,-85.6591
34.0747,-85.9352
33.225,-87.1263
34.8012,-86.7208
32.94493,-85.95096
32.93819,-85.95218
32.93543,-85.9306
32.95523,-85.94917
32.93143,-85.97023
31.599,-85.2259
33.3098,-86.7835
33.4812,-86.6647
33.5491,-86.7305
30.7937,-88.2267
33.921,-85.7263
32.3877,-85.2237
30.6217,-88.3397
31.4121,-85.8664
33.3846,-86.0476
32.3598,-86.3088
33.2282,-86.8135
31.2046,-85.384
34.0694,-86.0205
33.5467,-86.758
31.31374,-86.4708
31.3281,-86.4834
31.312,-86.51723
33.66237,-85.81976
33.63273,-85.83345
33.63139,-85.77492
33.66586,-85.85879
33.65719,-85.81044
33.70851,-85.82106
33.66237,-85.81976
33.70846,-85.82108
33.66144,-85.84063
34.32867,-86.49361
34.33298,-86.4965
34.31285,-86.51134
34.32866,-86.48819
34.79081,-86.99556
34.80819,-86.97318
34.80419,-86.95091
34.79713,-86.96914
34.80533,-86.99387
34.79703,-86.96295
34.7843,-86.96417
33.99848,-86.12543
33.99458,-86.11258
34.01703,-86.09781
34.01336,-86.10308
32.59537,-85.46171
32.59854,-85.47602
32.62151,-85.48454
32.60078,-85.46473
32.61897,-85.49312
32.58867,-85.47273
32.58403,-85.46721
32.56285,-85.45744
32.63069,-85.49778
32.54798,-85.55835
32.66069,-86.70173
32.69676,-86.38302
32.45273,-86.4549
32.49607,-86.4746
32.48445,-86.46986
32.45454,-86.4506
32.4633,-86.46902
32.58793,-86.46425
32.45241,-86.42482
32.45763,-86.45479
32.49574,-86.47502
32.43348,-86.66019
32.44805,-86.4283
32.45771,-86.46698
30.88868,-87.77378
30.88868,-87.77378
30.61665,-87.8688
30.26803,-87.68423
30.54038,-87.70787
30.59093,-87.90254
30.41946,-87.59871
30.56718,-87.62448
30.53087,-87.90264
30.40819,-87.68753
31.00208,-87.62279
30.61845,-87.68668
30.54354,-87.75276
30.67391,-87.90557
30.74261,-87.79121
30.48697,-87.69616
30.31575,-87.72893
30.49878,-87.88618
30.59039,-87.73113
30.52089,-87.90574
30.29645,-87.55859
30.67658,-87.8555
30.41433,-87.58686
30.26802,-87.68246
30.41262,-87.74266
30.47232,-87.85715
31.03137,-87.86026
30.86644,-87.78306
30.54891,-87.69637
30.26912,-87.68134
30.50184,-87.90413
30.8656,-87.78315
30.89062,-87.77647
30.61231,-87.90284
30.52378,-87.87858
30.52543,-87.87548
30.40858,-87.69073
30.38549,-87.69212
30.61352,-87.75894
30.8663,-87.7511
30.55271,-87.69862
30.64024,-87.86373
30.78848,-87.84793
30.38124,-87.68706
30.89409,-87.79305
30.8958,-87.7761
30.61111,-87.87272
30.6854,-87.8536
31.88077,-85.44961
31.8652,-85.4331
31.78163,-85.55465
31.45945,-85.60486
31.77747,-85.54895
33.33624,-86.93112
33.40998,-86.9402
33.39128,-86.95205
33.36639,-86.98644
33.37743,-86.95825
33.37814,-86.98001
33.40189,-86.95799
33.36664,-86.98653
33.41295,-86.96058
32.95072,-87.14421
32.94253,-87.16306
32.94271,-87.10494
32.90042,-86.90581
33.11523,-87.11844
33.1228,-87.1281
33.05565,-87.13545
33.11535,-87.12314
32.94587,-87.12499
33.21227,-87.13747
33.52487,-86.77114
