latitude,longitude
43.6602833,-79.4328568
42.1683117,-75.1313601
43.6861328,-79.3930736
32.8625811,-117.2241141
32.8624874,-117.223993
44.2627393,-76.4913741
44.2190778,-76.6432864
41.1390908,-112.0622713
41.1392861,-112.0633335
43.6919283,-79.3156447
37.8779763,-122.2692412
29.4912341,-98.7088762
27.9469069,-82.4468377
37.1439894,-121.664419
33.0087324,-80.0463026
43.6929109,-79.3160662
32.7454956,-117.1997349
40.889941,-111.881048
34.0214927,-84.3152457
43.694404,-79.5188152
43.8502974,-79.3500558
43.6756458,-79.5557255
43.7525988,-79.2439316
43.6649104,-79.4127813
43.6533737,-79.3739407
43.6597376,-79.3821509
43.6565315,-79.3776492
43.5778624,-79.6193914
37.7999565,-122.4438742
37.8000419,-122.4431635
37.7998973,-122.4425947
37.8001445,-122.4407763
37.8001322,-122.4408741
40.7486672,-73.9762129
40.6876868,-73.9666017
40.6510107,-74.0036926
40.6900874,-73.9961748
41.9733287,-91.6816431
43.970251,-79.2524101
38.7675372,-104.8159146
39.3732112,-104.8592223
32.8677573,-117.2062394
43.0754031,-89.4383323
39.2886527,-84.3050191
34.232491,-119.1751694
36.0512996,-115.1713673
41.7321531,-93.6299728
47.6396938,-122.4018669
44.2423598,-76.5150129
41.925107,-87.6604844
37.3527986,-122.0321704
38.9029584,-77.0436721
47.8337933,-69.5369028
47.8334745,-69.5370513
43.4036395,-80.3285121
43.403066,-80.3274834
43.4032096,-80.3282209
43.4082621,-80.3245479
43.4082739,-80.3244514
43.4107337,-80.3092229
43.4119862,-80.3090857
38.5081137,-90.4473547
45.5176919,-122.5629263
41.9399619,-87.658528
47.1796997,-122.5526784
34.1342399,-117.5385525
34.8582643,-82.3950637
46.8519908,-71.2077796
32.6759778,-97.3964759
39.4382293,-105.453168
49.1072112,-121.961305
49.1072147,-121.961664
43.5804994,-79.7119008
43.5803426,-79.7116469
33.0352279,-80.0630046
33.0346978,-80.0605319
33.0233641,-80.0559486
33.7766782,-84.3892668
44.7818187,-93.5091018
44.7807952,-93.5099358
43.7433165,-79.2194077
44.7751417,-93.4157402
44.7753829,-93.4146452
34.8517897,-82.3987962
33.0191883,-117.1134311
33.0193639,-117.1123274
43.6508478,-79.4782714
37.4505488,-122.1849348
30.1837829,-97.8481415
43.7060003,-79.3890097
43.7464799,-79.2882812
43.779573,-79.2978058
33.7783673,-84.2951148
45.3550925,-73.7176247
34.8478415,-82.3927602
34.8482902,-82.402092
34.8358371,-82.4294873
43.6670595,-79.3856382
31.3347767,-92.3881741
32.6695348,-97.3991149
39.1527686,-77.0682532
38.9168488,-77.0358755
41.408019,-75.6608945
32.61489,-117.082793
44.4808257,-88.0676166
32.8633313,-97.2911129
32.8627301,-97.2896989
32.862728,-97.2895661
42.2025089,-70.94339
39.1547289,-77.0634345
33.8240851,-84.1220058
33.8411712,-84.1320282
32.8601837,-97.320148
34.8445249,-82.4047367
38.9572474,-77.3997666
43.4547431,-80.4953139
34.8450662,-82.4023148
37.7877235,-122.4120922
43.5788358,-79.6186038
43.5789788,-79.6184308
43.5792673,-79.6177387
39.3939437,-74.3958474
45.2090963,-93.3583511
44.9176046,-93.1861908
39.2934436,-84.3061885
34.8207017,-82.2637302
43.4313301,-80.3104684
43.4316216,-80.3103426
43.4316111,-80.3099736
43.3925559,-80.3042086
43.3920361,-80.3040244
43.4232718,-80.2859133
43.5810527,-79.6179177
43.5813313,-79.6185508
